Requirement title,Mandatory / Optional,Full requirement,Control application,Control,Evidence title,Typical evidence,Category,Typical Location,Capabilities,Category,Typical Location,Capabilities,Type of change,Change - priority area,Change - control,Change - evidence title,Change - typical evidence,"Change - other (control type, category, typical location, capabilities)",Reasoning for change,Changelog specification
A004: Protect IP & trade secrets,Mandatory,Implement safeguards or technical controls to prevent AI systems from leaking company intellectual property or confidential information,Supplemental - This may include:,"- Leveraging foundation model provider protections. For example, using providers with zero data retention policies, requiring contractual commitments that inputs are not used for training, selecting models with enhanced privacy guarantees for sensitive use cases.",A004.2 Documentation: foundational model IP protections,"Provider contracts, terms of service, or documentation showing IP protection commitments. Often found in third party's terms of use/service, DPA or AI Addendum/Schedule",Legal Policies,Vendor Contracts,Universal,Legal Policies,Vendor Contracts,Universal,Not changed,,,,,,,
A004: Protect IP & trade secrets,Mandatory,Implement safeguards or technical controls to prevent AI systems from leaking company intellectual property or confidential information,Supplemental - This may include:,- Implementing technical controls to detect proprietary information in outputs.,A004.3 Config: IP detection implementation,"Code or configuration detecting proprietary information patterns in AI outputs - may include labelling proprietary files, filtering rules for internal identifiers/data labels/API keys, scanning logic for trade secret terminology, or rejection demonstrations showing appropriate responses to proprietary requests.",Technical Implementation,"Engineering Code, Product",Universal,Technical Implementation,"Engineering Code, Product",Universal,Changed existing (evidence language),,,,,,,
A004: Protect IP & trade secrets,Mandatory,Implement safeguards or technical controls to prevent AI systems from leaking company intellectual property or confidential information,Supplemental - This may include:,"- Establishing output monitoring for high-risk IP scenarios. For example, logging AI responses that accessed confidential data sources, implementing human review workflows for outputs flagged as potentially containing sensitive information.",A004.4 Config: IP disclosure monitoring,"Logs, audit trails, or review workflow documentation for AI outputs potentially containing sensitive information - may include logs of responses accessing confidential sources, flagged output review queues, or human approval workflows for high-risk disclosures.",Technical Implementation,"Engineering Practice, Logs",Universal,Technical Implementation,"Engineering Practice, Logs",Universal,Not changed,,,,,,,
A005: Prevent cross-customer data exposure,Mandatory,Implement safeguards to prevent cross-customer data exposure when combining customer data from multiple sources,Core - This should include:,"- Establishing explicit consent and disclosure for combined data usage. For example, informing customers when their data will be combined with competitor data, disclosing data anonymization and abstraction policies, providing opt-out mechanisms.",A005.1 Documentation: Consent for combined data usage,Typically demonstrated by Data Processing Agreement or Terms of Service,Legal Policies,"Data Processing Agreement, Terms of Service",Universal,Legal Policies,"Data Processing Agreement, Terms of Service",Universal,Not changed,,,,,,,
A005: Prevent cross-customer data exposure,Mandatory,Implement safeguards to prevent cross-customer data exposure when combining customer data from multiple sources,Core - This should include:,"- Implementing customer data isolation controls. For example, enforcing strict logical and physical separation of customer data, applying tenant-specific encryption, validating data flow boundaries in shared infrastructure, establishing technical barriers between customer datasets during training.",A005.2 Config: Customer data isolation controls,"Configuration or code output demonstrating customer isolation controls - may show how app_IDs are enforced in the database schema, or namespace isolation by app_ID being implemented in the vector store for RAG (or equivalent logical isolation), or that authorization checks verify app_ID matching before returning objects.",Technical Implementation,Engineering Code,Universal,Technical Implementation,Engineering Code,Universal,Changed existing (evidence language),,,,,,,
A005: Prevent cross-customer data exposure,Mandatory,Implement safeguards to prevent cross-customer data exposure when combining customer data from multiple sources,Supplemental - This may include:,- Implementing specific privacy-enhancing technologies (PETs) to reduce competitive exposure.,A005.3 Config: Privacy-enhancing controls,"May include tokenization, hashing, or anonymization techniques (robust to prevent re-identification or reversal) making data algorithmic-usable but not human-readable, differential privacy implementation obfuscating individual contributions, federated learning configuration avoiding centralized raw data, or data masking/pseudonymization protecting customer identities.",Technical Implementation,Engineering Code,Universal,Technical Implementation,Engineering Code,Universal,Not changed,,,,,,,
A006: Prevent PII leakage,Mandatory,Establish safeguards to prevent personal data leakage through AI outputs and logs,Core - This should include:,"- Implementing safeguards to prevent personal data leakage through AI system outputs and logs. For example, filtering prompts and outputs for personal identifiers before storage or display, implementing automated PII detection and redaction in system logs, preventing retention of outputs containing sensitive personal information, or blocking responses that would expose personal identifiers.",A006.1 Config: PII detection and filtering,"Configuration or code output demonstrating filtering of LLM inputs and/or outputs for personal identifiers - may include keyword checks or regex patterns detecting PII (e.g. names, emails, SSNs, phone numbers), scrubbing functions removing personal data before storage or logging, output filtering blocking responses containing personal identifiers, log redaction configuration removing PII from application or system logs, or structured logging with PII isolation controls.
",Technical Implementation,"Eng: LLM output filtering logic, Eng: User LLM input filtering logic",Universal,Technical Implementation,"Eng: LLM output filtering logic, Eng: User LLM input filtering logic",Universal,Changed existing (evidence language),,,,,,,
A006: Prevent PII leakage,Mandatory,Establish safeguards to prevent personal data leakage through AI outputs and logs,Core - This should include:,"- Requiring authentication and authorization for PII access. For example, role-based access controls for PII-containing systems, multi-factor authentication for sensitive data access, or approval-gated access to customer information.",A006.2 Config: PII access controls,"IAM configuration or user roles list for systems containing PII - may include role-based access controls for log aggregation tools or internal dashboards with PII, authentication requirements for PII access, or approval workflow documentation (Jira tickets, approval systems) for internal workforce requests to view customer data.
",Technical Implementation,Engineering Practice,Universal,Technical Implementation,Engineering Practice,Universal,Changed existing (evidence language),,,,,,,
A006: Prevent PII leakage,Mandatory,Establish safeguards to prevent personal data leakage through AI outputs and logs,Supplemental - This may include:,- Integrating with existing data loss prevention (DLP) systems to monitor and block outputs containing personal data in violation of policy.,A006.3 Config: DLP system integration,"Output pipeline integration with a DLP system to scan and block PII policy violations - may include DLP integration code scanning AI outputs before delivery to users, DLP configuration rules for PII detection, or logs showing blocked outputs containing personal data.",Technical Implementation,Engineering Code,Universal,Technical Implementation,Engineering Code,Universal,Changed existing (evidence language),,,,,,,
A007: Prevent IP violations,Mandatory,"Implement safeguards and technical controls to prevent AI outputs from violating copyrights, trademarks, or other third-party intellectual property rights",Core - This should include:,"- Documenting foundation model provider IP protections which may serve as primary infringement safeguards. For example, indemnification clauses or copyright/trademark guardrails.",A007.1 Documentation: Model provider IP infringement protections,"Foundation model provider contract, terms of service, or data processing agreement showing IP protection commitments including copyright/trademark handling policies, indemnification clauses, liability coverage, and any documented limitations or exclusions. May include vendor questionnaire responses or certification documents addressing IP protections.",Legal Policies,Vendor Contracts,"Text-generation, Voice-generation, Image-generation",Legal Policies,Vendor Contracts,"Text-generation, Voice-generation, Image-generation",Not changed,,,,,,,
A007: Prevent IP violations,Mandatory,"Implement safeguards and technical controls to prevent AI outputs from violating copyrights, trademarks, or other third-party intellectual property rights",Supplemental - This may include:,"- Establishing supplementary content filtering mechanisms where provider protections have gaps or limitations. For example, detecting copyrighted material in outputs, implementing trademark screening.",A007.2 Config: IP infringement filtering,"Code, API configuration, or filtering system showing detection of copyrighted material, trademark screening, or content validation checks applied to AI outputs - this could be pattern matching logic, third-party API integration (e.g. copyright detection services), or custom filtering rules.",Technical Implementation,"Engineering Code, Eng: LLM output filtering logic","Text-generation, Voice-generation, Image-generation",Technical Implementation,"Engineering Code, Eng: LLM output filtering logic","Text-generation, Voice-generation, Image-generation",Changed existing (evidence language),,,,,,,
A007: Prevent IP violations,Mandatory,"Implement safeguards and technical controls to prevent AI outputs from violating copyrights, trademarks, or other third-party intellectual property rights",Supplemental - This may include:,"- Implementing user guidance and guardrails to reduce IP risk. For example, usage policies that explain prohibited content types, user warnings in product, restricting output generation in known infringement domains.
- Implementing restrictions in AI acceptable use policy.",A007.3 Logs: User-facing notices,"User-facing IP risk guidance - may include warning messages when attempting high-risk operations, help center articles about IP infringement guidance, or UI elements explaining prohibited use cases.",Technical Implementation,"Product, Acceptable Use Policy","Text-generation, Voice-generation, Image-generation",Technical Implementation,"Product, Acceptable Use Policy","Text-generation, Voice-generation, Image-generation",Changed existing (evidence language),,,,,,,
B001: Third-party testing of adversarial robustness,Mandatory,Implement adversarial testing program to validate system resilience against adversarial inputs and prompt injection attempts in line with adversarial threat taxonomy,Core - This should include:,"- Establishing a taxonomy for adversarial risks. For example, drawing on NIST's AI 100-2e2023 attack classifications and aligning these to system architecture and use cases.
- Conducting comprehensive adversarial testing at least quarterly. For example, performing structured red-teaming, prompt injection assessments, jailbreaking attempts, adversarial perturbation testing, semantic manipulation, and simulated malicious tool invocations.
- Maintaining secure testing documentation. For example, recording test cases, methods, outcomes, and system behaviors with restricted access controls, implementing secure storage for sensitive testing materials.
- Establishing improvement processes based on findings. For example, assigning owners and remediation timelines based on test severity, tracking fixes through risk registers or issue management systems, documenting updates to safeguards and procedures.",B001.1 Report: adversarial testing results,"Third-party evaluation report showing adversarial robustness testing - must include risk taxonomy tested, testing methodology and findings, secure documentation practices, and improvement tracking with remediation timelines and documentation.",Third-party Evals,Third-party evaluation report,Universal,Third-party Evals,Third-party evaluation report,Universal,Not changed,,,,,,,
B001: Third-party testing of adversarial robustness,Mandatory,Implement adversarial testing program to validate system resilience against adversarial inputs and prompt injection attempts in line with adversarial threat taxonomy,Supplemental - This may include:,"- Aligning adversarial testing with broader security testing programs. For example, integrating AI-specific test cases into broader penetration testing, sharing threat models across red/blue teams, aligning test cycles with security audit and compliance calendars.",B001.2 Documentation: Security program integration,"Penetration test reports with AI-specific test cases, shared threat models, and testing calendars, or documentation of broader security program incorporating AI adversarial testing requirements.",Operational Practices,"Engineering Practice, Internal processes",Universal,Operational Practices,"Engineering Practice, Internal processes",Universal,Not changed,,,,,,,
B002: Detect adversarial input,Optional,Implement monitoring capabilities to detect and enable responding to adversarial inputs and prompt injection attempts,Core - This should include:,"- Establishing detection and alerting. For example, implementing monitoring for prompt injection patterns, jailbreak techniques, adversarial input attempts, and exceeding rate limits, configuring alerts and threat notifications for suspicious activities.",B002.1 Config: Adversarial input detection and alerting,"Monitoring system, SIEM, or detection code showing rules and alerts for adversarial inputs - may include prompt injection detection patterns, jailbreak technique signatures, rate limit monitoring with threshold alerts, or notification configurations (Slack, PagerDuty, email)",Technical Implementation,Engineering Code,Universal,Technical Implementation,Engineering Code,Universal,Changed existing (evidence language),,,,,,,
B002: Detect adversarial input,Optional,Implement monitoring capabilities to detect and enable responding to adversarial inputs and prompt injection attempts,Core - This should include:,"- Implementing incident logging and response procedures. For example, logging suspected adversarial attacks with relevant context, escalating to designated personnel based on severity, and documenting response actions in a centralized system.",B002.2 Logs: Adversarial incident and response,"Incident management system or logs showing adversarial attack handling - may include log entries with timestamps and user/session context, escalation runbooks defining severity thresholds, or incident tickets in Jira/PagerDuty/ServiceNow documenting response actions and workflows.",Technical Implementation,"Logs, Engineering Tooling",Universal,Technical Implementation,"Logs, Engineering Tooling",Universal,Changed existing (evidence language),,,,,,,
B002: Detect adversarial input,Optional,Implement monitoring capabilities to detect and enable responding to adversarial inputs and prompt injection attempts,Core - This should include:,"- Maintaining detection effectiveness through quarterly reviews. For example, updating detection rules based on emerging adversarial techniques, analyzing incident patterns and documenting system improvements.",B002.3 Documentation: Updates to detection config,"Quarterly review documentation showing detection updates - for example, review meeting notes with incident pattern analysis, updated detection rules with version history, or tracking records showing rule improvements (e.g. GitHub/Jira tickets).",Technical Implementation,"Engineering Practice, Internal processes",Universal,Technical Implementation,"Engineering Practice, Internal processes",Universal,Not changed,,,,,,,
B002: Detect adversarial input,Optional,Implement monitoring capabilities to detect and enable responding to adversarial inputs and prompt injection attempts,Supplemental - This may include:,"- Implementing adversarial input detection prior to AI model processing where feasible. For example, using pre-processing filters to flag likely threats before model processing.",B002.4 Config: Pre-processing adversarial detection,"Pre-processing filtering logic or gateway - may include pattern-matching or heuristic code checking inputs before model processing, WAF or API gateway rules blocking adversarial patterns, or IP-based filtering.",Technical Implementation,Engineering Code,Universal,Technical Implementation,Engineering Code,Universal,Changed existing (evidence language),,,,,,,
B002: Detect adversarial input,Optional,Implement monitoring capabilities to detect and enable responding to adversarial inputs and prompt injection attempts,Supplemental - This may include:,"- Integrating adversarial input detection into existing security operations tooling. For example, forwarding flagged inputs to SIEM platforms, correlating detection with authentication and network logs, enabling SOC teams to triage AI-related security events.",B002.5 Config: AI security alerts,"SIEM platform, SOC tooling, or log forwarding configuration showing adversarial detection integration - may include Splunk/Datadog/Elastic SIEM ingesting AI adversarial alerts, correlation rules linking AI events with authentication or network logs, SOC dashboard displaying AI security event triage, or code forwarding flagged inputs to security platforms.",Technical Implementation,Engineering Tooling,Universal,Technical Implementation,Engineering Tooling,Universal,Changed existing (evidence language),,,,,,,
B003: Manage public release of technical details,Optional,Implement controls to prevent over-disclosure of technical information about AI systems and organizational details that could enable adversarial targeting,Core - This should include:,"- Documenting limitations on technical information release. For example, limiting public disclosure of model architectures, algorithms, training data details, system configurations, and performance metrics, requiring approval before sharing technical specifications or implementation details.
- Controlling organizational information to balance transparency with security. For example, limiting disclosure of AI team details, development timelines, and other information that could reveal technical capabilities, reviewing public communications for sensitive information.",B003.1 Documentation: Technical information disclosure guidelines,"Policy document, SOP, or handbook section defining limitations and approval requirements for publicly sharing AI system technical details - may include communication policy limiting disclosure of model architectures or configurations, engineering handbook with approval workflows for technical specifications, or internal procedures controlling release of organizational AI information.
",Operational Practices,Internal policies,Universal,Operational Practices,Internal policies,Universal,Not changed,,,,,,,
B003: Manage public release of technical details,Optional,Implement controls to prevent over-disclosure of technical information about AI systems and organizational details that could enable adversarial targeting,Supplemental - This may include:,"- Establishing approval processes. For example, requiring designated review for public content referencing AI capabilities in e.g. publications, presentations, and marketing materials, and documenting approved disclosures with business justification.",B003.2 Documentation: Public disclosure approval records,"Approval email, ticket, or review documentation for public AI communications - may include approval requests in email or Jira/Slack for blog posts or press releases, marketing review records for AI capability disclosures, or periodic security review logs for public-facing AI content.",Operational Practices,Internal processes,Universal,Operational Practices,Internal processes,Universal,Not changed,,,,,,,
B004: Prevent AI endpoint scraping,Mandatory,Implement safeguards to prevent probing or scraping of external AI endpoints,Core - This should include:,"- Implementing systems distinguishing between high-volume legitimate usage and adversarial behavior. For example, using behavioral analytics and user profiling to calibrate detection thresholds and prevent false positives against trusted users.",B004.1 Config: Anomalous usage detection,"Anomaly detection system or configuration file - may include behavioral analytics dashboard (Datadog, Elastic, Splunk) with user scoring rules, rate limiting configuration with tier-based thresholds (config.yaml, API gateway settings), user allowlists or reputation tables, or code implementing session-based threshold logic.",Technical Implementation,"Engineering Tooling, Engineering Code",Universal,Technical Implementation,"Engineering Tooling, Engineering Code",Universal,Changed existing (evidence language),,,,,,,
B004: Prevent AI endpoint scraping,Mandatory,Implement safeguards to prevent probing or scraping of external AI endpoints,Core - This should include:,"- Implementing rate limiting and query restrictions. For example, establishing per-user quotas to prevent model extraction, blocking excessive query patterns, implementing progressive restrictions for suspicious behavior, or using economic disincentives for high-volume usage.",B004.2 Config: Rate limits,"Rate limiting configuration for API endpoints - may include per-user quota settings, query throttling rules, progressive restriction policies, WAF configuration (Cloudflare, AWS WAF, Azure Application Gateway) with blocking rules for excessive patterns, or pricing tier settings implementing usage-based cost increases.",Technical Implementation,Engineering Tooling,Universal,Technical Implementation,Engineering Tooling,Universal,Changed existing (evidence language),,,,,,,
B004: Prevent AI endpoint scraping,Mandatory,Implement safeguards to prevent probing or scraping of external AI endpoints,Core - This should include:,"- Conducting simulated external attack testing of AI endpoints. For example, performing automated attack simulations, testing endpoint protection effectiveness against high-volume and distributed attacks, and documenting methodologies appropriate to organizational threat profile.",B004.3 Report: External pentest of AI endpoints,"Third-party penetration test report for AI endpoints including attack simulations tested (e.g. scraping attempts, brute force, reconnaissance), rate limiting and endpoint protection validation, distributed attack testing, test methodology, and findings on protection effectiveness.",Technical Implementation,Engineering Practice,Universal,Technical Implementation,Engineering Practice,Universal,Not changed,,,,,,,
B004: Prevent AI endpoint scraping,Mandatory,Implement safeguards to prevent probing or scraping of external AI endpoints,Core - This should include:,"- Maintaining endpoint security through remediation. For example, tracking identified vulnerabilities, implementing protective measures based on testing outcomes, and regularly updating endpoint defenses and detection thresholds.",B004.4 Documentation: Vulnerability remediation,"Issue tracking system (GitHub, Jira, Linear) showing endpoint vulnerability lifecycle - must include vulnerability identification, remediation proposal, implementation, and production deployment with timestamps and approval records.",Technical Implementation,Engineering Practice,Universal,Technical Implementation,Engineering Practice,Universal,Changed existing (evidence language),,,,,,,
B005: Implement real-time input filtering,Optional,Implement real-time input filtering using automated moderation tools,Core - This should include:,"- Integrating automated moderation tools to filter inputs before they reach the foundation model. For example, integrating third-party moderation APIs, implementing custom filtering rules, configuring blocking or warning actions for flagged content, and establishing confidence thresholds based on risk category and severity",B005.1 Config: Input filtering,"Moderation tool integration showing API configuration, filtering rules, action settings (block/warn/modify), and confidence thresholds for different violation categories - this could be screenshots of configuration files, admin dashboard settings, or API integration code.

Example moderation tools: OpenAI Moderation API, Claude content filtering, VirtueAI/Hive/Spectrum Labs",Technical Implementation,"Eng: User LLM input filtering logic, Engineering Tooling","Text-generation, Voice-generation, Image-generation",Technical Implementation,"Eng: User LLM input filtering logic, Engineering Tooling","Text-generation, Voice-generation, Image-generation",Changed existing (evidence language),,,,,,,
B005: Implement real-time input filtering,Optional,Implement real-time input filtering using automated moderation tools,Supplemental - This may include:,"- Documenting the moderation logic and rationale. For example, explaining chosen moderation tools, threshold justifications, and decision criteria for different risk categories.",B005.2 Documentation: Input moderation approach,"Document explaining moderation approach including tool selection rationale, threshold settings with justifications, action logic for different violation types, and examples of how different input categories are handled.",Technical Implementation,"Internal processes, Engineering Practice","Text-generation, Voice-generation, Image-generation",Technical Implementation,"Internal processes, Engineering Practice","Text-generation, Voice-generation, Image-generation",Not changed,,,,,,,
B005: Implement real-time input filtering,Optional,Implement real-time input filtering using automated moderation tools,Supplemental - This may include:,Providing feedback to users when inputs are blocked.,B005.3 Demonstration: Warning for blocked inputs,"User-facing messages or UI flows showing how blocked inputs are communicated to users - this could be error messages, warning dialogs, or alternative suggestions provided when content is filtered.",Technical Implementation,Product,"Text-generation, Voice-generation, Image-generation",Technical Implementation,Product,"Text-generation, Voice-generation, Image-generation",Changed existing (evidence language),,,,,,,
B005: Implement real-time input filtering,Optional,Implement real-time input filtering using automated moderation tools,Supplemental - This may include:,"- Logging flagged prompts for analysis and refinement of filters, while ensuring compliance with privacy obligations.",B005.4 Logs: Input filtering,"Logging system showing how flagged inputs are captured, what metadata is included/excluded for privacy, retention policies, and audit trail - may include privacy documentation explaining logging disclosures to users.",Technical Implementation,Logs,"Text-generation, Voice-generation, Image-generation",Technical Implementation,Logs,"Text-generation, Voice-generation, Image-generation",Changed existing (evidence language),,,,,,,
B005: Implement real-time input filtering,Optional,Implement real-time input filtering using automated moderation tools,Supplemental - This may include:,"- Periodically evaluating filter performance and adjusting thresholds accordingly. For example, accuracy, latency, false positives/negatives.",B005.5 Documentation: Input filter performance,"Report or dashboard showing analysis of filter performance metrics (false positives, false negatives, accuracy, latency) and documented threshold adjustments made based on performance data - should include timestamps and rationale for changes.",Technical Implementation,Engineering Practice,"Text-generation, Voice-generation, Image-generation",Technical Implementation,Engineering Practice,"Text-generation, Voice-generation, Image-generation",Not changed,,,,,,,
B006: Prevent unauthorized AI agent actions,Mandatory,Implement safeguards to prevent AI agents from performing actions beyond intended scope and authorized privileges,Core - This should include:,"- Implementing technical restrictions that limit agent capabilities to authorized scope. For example, restricting agent access to approved backend services, APIs and MCP servers, enforcing network segmentation or API gateway rules, or implementing service-level authorization preventing access to sensitive systems.",B006.1 Config: Agent service access restrictions,"Configuration showing technical limitations on agent backend access - may include API gateway rules restricting accessible services, network policies defining allowed endpoints, MCP server allowlist or registration configuration restricting which MCP servers and tools the agent may connect to, service-level authorization configuration, or architecture diagram showing agent isolation boundaries including MCP server placement and network segmentation.

",Technical Implementation,Engineering Code,Automation,Technical Implementation,Engineering Code,Automation,Changed existing (content),MCP/A2A/multi-agent orchestration,,,,,Covered MCP server access alongside existing API and service-level restrictions,Revision
B006: Prevent unauthorized AI agent actions,Mandatory,Implement safeguards to prevent AI agents from performing actions beyond intended scope and authorized privileges,Core - This should include:,"- Deploying monitoring and alerting for agent actions that exceed security boundaries. For example, logging all agent service interactions, alerting on access attempts to unauthorized systems or APIs, or anomaly detection flagging unusual connection patterns.",B006.2 Config: Agent security monitoring and alerting,"Implementation of monitoring configuration tracking agent security-relevant actions - may include logging setup capturing agent service calls and authentication attempts, alert rules for unauthorized system access, security monitoring dashboard showing agent infrastructure interactions, or example logs demonstrating boundary violations are detected.",Technical Implementation,"Engineering Code, Logs",Automation,Technical Implementation,"Engineering Code, Logs",Automation,Changed existing (evidence language),,,,,,,
